source,headline,content
ME Association: Pacing Guide for Patients,Understanding ME/CFS and Energy,"Having ME/CFS means that you are no longer able to carry out most of the energy requiring activities that form part of normal everyday life in a way that you did before becoming ill.  And it's not only physical activities that require energy mental activity also requires a lot of energy."
ME Association: Pacing Guide for Patients,Importance of Activity and Energy Management,"In the absence of any effective drug treatment for ME/CFS, the most important aspect of living with this illness is finding a form of activity and energy management that suits your individual circumstances."
ME Association: Pacing Guide for Patients,Key Diagnostic Symptoms of ME/CFS,"The new NICE guideline on ME/CFS identifies four key diagnostic symptoms - all of which relate to energy use or production.  All four symptoms should be present to confirm a diagnosis of ME/CFS.  Debilitating fatigue that is worsened by activity, is not caused by excessive cognitive, physical, emotional or social exertion, and is not significantly relieved by rest. Post-exertional malaise (PEM) or symptom exacerbation occurs after activity and involves a worsening of symptoms such as cognitive dysfunction, nausea and pain. Unrefeshing sleep and/or sleep disturbance. Cognitive difficulties (sometimes described as 'brain fog')."
ME Association: Pacing Guide for Patients,Understanding Post-Exertional Malaise (PEM),"Post-exertional malaise: is often delayed in onset by hours or days, is disproportionate to the activity, has a prolonged recovery time that may last hours, days, weeks or longer."
ME Association: Pacing Guide for Patients,Managing Fatigue - Sleep,"Having at least 6 hours of solid uninterrupted sleep each night - because sleep is the most effective way of recharging human energy levels."
ME Association: Pacing Guide for Patients,Managing Fatigue - Diet,"Eating a well-balanced diet that contains all the main food groups and nutrients and avoiding 'quick fix' carbohydrates."
ME Association: Pacing Guide for Patients,Managing Fatigue - Hydration and Substances,"Keeping well hydrated and avoiding caffeine and alcohol."
ME Association: Pacing Guide for Patients,Managing Fatigue - Medical Check-ups,"Making sure that, as part of your medical assessment common conditions that can cause fatigue such as anaemia and low thyroid function are not present as well."
ME Association: Pacing Guide for Patients,Understanding Energy Production Issues - Mitochondrial Dysfunction,"ME/CFS is rather like having a mobile phone with a malfunctioning battery.  Just like a defective battery, your body's energy levels are no longer capable of charging up to full power.  So they are quickly running out of power when you start using physical or mental energy during the day."
ME Association: Pacing Guide for Patients,Pacing - Basic Principles,"Pacing is a form of activity and energy management that aims to achieve the right balance between activity and rest.  For people with ME/CFS it can make the difference between coping and feeling really ill."
ME Association: Pacing Guide for Patients,Aims of Pacing,"Pacing should help you to gain better control and stabilization of your illness. It may also help with symptom control.  Although each day is still going to be different, the aim of pacing is to try and produce a more stable situation and give your body the best chance for some degree of improvement."
ME Association: Pacing Guide for Patients,Pacing as a Long-Term Approach,"Pacing is a long-term approach that may need to be regularly modified over weeks, months, or even years."
ME Association: Pacing Guide for Patients,Using a Tracker for Pacing,"Use a tracker to help you with your pacing. Try our 'Only Me' journal.  It's a place to track symptoms, medication, appointments, pacing, food diary and to record how you feel."
ME Association: Pacing Guide for Patients,Pacing Practicalities - Learning New Skills,"Pacing means learning new skills and recognising your limitations.  This isn't always easy, especially at the very start of being ill.  It may also involve a degree of trial and error before you master the art."
ME Association: Pacing Guide for Patients,Pacing Practicalities - Individual Circumstances,"Activity and energy management has to be based on your own individual circumstances and learning to roughly judge how much energy you are likely to have on a day-to-day basis."
ME Association: Pacing Guide for Patients,Pacing Considerations - Illness Stage Severity Fluctuations,"This means taking three important factors into consideration: What stage you are in your illness: acute/early, stable, improving; How severe your symptoms are: mild, moderate or severe; To what extent your condition fluctuates."
ME Association: Pacing Guide for Patients,Early Stages of Suspected ME/CFS - Stop Rest Pace,"The most important aspect of activity and energy management in the very early stages of any post-viral fatigue illness is good old-fashioned convalescence.  Anecdotal evidence indicates that an adequate period of rest, possibly including some bed rest, is crucial."
ME Association: Pacing Guide for Patients,Early Stages of Suspected ME/CFS - Gentle Mobilisation during Bed Rest,"If bed rest is taken at this stage, try to include some periods when you sit in a chair or gently mobilise around the house."
ME Association: Pacing Guide for Patients,Early Stages of Suspected ME/CFS - Avoid Pushing Through,"Never try to exercise your way out of the very early stages of ME/CFS.  This includes going back to school or employment before you are able to do so."
ME Association: Pacing Guide for Patients,Importance of Early Rest,"An adequate period of rest in these crucial early stages is the most important way of helping to reduce the risk of developing a more persisting and severe form of ME/CFS."
ME Association: Pacing Guide for Patients,When ME/CFS is Diagnosed - Finding a Baseline,"The first thing to do is find a comfortable baseline of activities one that is not exacerbating symptoms or causing PEM.  This is often lower than you think. Keep dropping your activity levels and increasing your resting until you feel you are living comfortably within your limitations and have better control over what you can and cannot do."
ME Association: Pacing Guide for Patients,Energy Reserves Analogy - The Battery,"Think of your energy reserves - or energy envelope like a battery.  At the start of each day you are going to have a different amount of charge in your battery to last you through the day."
ME Association: Pacing Guide for Patients,Effective Use of Limited Energy - Small Chunks and Rest,"The most effective way of using this limited amount of energy is to carry out physical and mental activities (such as computer work, doing mental puzzles or reading) in small manageable chunks throughout the day with longer periods of rest and relaxation in between."
ME Association: Pacing Guide for Patients,Managing Activities - Switching and Changing Positions,"As well as switching between physical and mental activities during the day, it can also be helpful to change position from sitting to lying down."
ME Association: Pacing Guide for Patients,Avoiding Overexertion - Do Not Push Through,"Do not to use more energy than you perceive you have and do not try to 'push through' your symptoms."
ME Association: Pacing Guide for Patients,Recognising Limits - Feeling of Doing Too Much,"Learn to recognise the feeling of 'doing too much' or sensing that you are getting close to this point.  This is not just a feeling of tiredness. It can be a sensation of losing control, losing concentration or increasing fatigue."
ME Association: Pacing Guide for Patients,Energy Conservation - Aim for Reserve Energy,"Aim to be prudent and still have some energy left at the end of the day."
ME Association: Pacing Guide for Patients,Importance of Night Sleep - Daytime Resting,"Rest is still very important but try to stick to resting and relaxation during the day because daytime sleeping can interfere with your ability to have at least five or six hours of solid sleep at night.  Having a prolonged period of uninterrupted sleep at night is very important - even though you still wake up feeling unrefreshed."
ME Association: Pacing Guide for Patients,Avoiding Extremes - Total Bed Rest,"Just as you cannot exercise your way out of ME/CFS, total and prolonged bed rest is not the solution either."
ME Association: Pacing Guide for Patients,Interpreting Symptoms - Adjusting Balance,"Feeling tired or stiff is a normal reaction to physical activity or exercise.  However, in the case of ME/CFS these sort of symptoms indicate that you are not getting the balance right."
ME Association: Pacing Guide for Patients,Utilising Aids and Adaptions,"Make use of aids and adaptions that may help with mobility, lifting and everyday household tasks.  If your mobility is significantly reduced, the occasional or regular use of a wheelchair or mobility scooter is worth considering."
ME Association: Pacing Guide for Patients,Planning - Realistic and Sustainable,"Plans for the day must be realistic, achievable, and sustainable."
ME Association: Pacing Guide for Patients,Accepting Setbacks - Progress Isn't Linear,"You may have to accept that progress can sometimes be two steps forward and one step backwards."
ME Association: Pacing Guide for Patients,Individual Approach - Flexibility in Pacing,"Everyone with ME/CFS is different - so there has to be plenty of flexibility when it comes finding the approach that most suits your needs."
ME Association: Pacing Guide for Patients,Increasing Activity - Gradual and Flexible,"Once you have achieved a degree of stability you can gradually and flexibly try to increase the amount of physical and/or mental activity you are doing."
ME Association: Pacing Guide for Patients,Willpower - Knowing When to Stop,"Remember that you used to use your willpower to keep going before being ill.  Now you need to use your willpower to say stop!"
ME Association: Pacing Guide for Patients,Listening to Your Body - Stop Before Doing Too Much,"Don't fight the illness - stop when your body says so.  And always stop an activity before you feel you are doing too much."
ME Association: Pacing Guide for Patients,Rest and Relaxation - Give Yourself Permission,"You must give yourself permission to rest and relax and not feel any guilt. Remember you are ill."
ME Association: Pacing Guide for Patients,Types of Rest - Complete Rest,"Complete rest when there is no outside stimulation.  Turn off your phone and shut the door. Explain to others what you are doing."
ME Association: Pacing Guide for Patients,Types of Rest - Light Activities,"Reading or watching the television."
ME Association: Pacing Guide for Patients,Types of Rest - Relaxation Techniques,"Relaxation techniques with the help of tapes or books."
ME Association: Pacing Guide for Patients,Avoiding Over-Resting,"It is also possible to overdo the resting, particularly when you are fearful of doing too much and causing a relapse."
ME Association: Pacing Guide for Patients,Planning Tasks - Breaking Down Complex Activities,"For more complicated tasks think about how you can split these down into smaller components."
ME Association: Pacing Guide for Patients,Planning Tasks - Example: Preparing a Meal,"A good example here would be splitting the various tasks that are involved into preparing an evening meal into separate items throughout the day: plan what needs doing, check the fridge, and other ingredients; prepare some of the ingredients and lay the table; cook anything that can be reheated later; heat the meal and enjoy!"
ME Association: Pacing Guide for Patients,Planning Tasks - Delegating and Using Services,"Leave the table clearing and washing up till later or for someone else to do!  And do make use of any labour-saving devices and services - such as online shopping and grocery deliveries."
ME Association: Pacing Guide for Patients,Reviewing Priorities - Health First,"Remember you are ill put yourself and your health first."
ME Association: Pacing Guide for Patients,Reviewing Priorities - Necessity of Activities,"Is the physical or mental activity really necessary?  Can you put it off? Does it have to be completed in one go?"
ME Association: Pacing Guide for Patients,Reviewing Priorities - Saying No and Asking for Help,"Learn to say no and to ask for help."
ME Association: Pacing Guide for Patients,Reviewing Priorities - Include Enjoyment,"Try to include things that provide enjoyment."
ME Association: Pacing Guide for Patients,Reviewing Priorities - Realistic and Flexible Plans,"Make a sensible and realistic plan which allows for last minute changes to be made."
ME Association: Pacing Guide for Patients,Enjoying Life - Prioritise Enjoyable Activities,"Your plan for the day should contain some activities that are there only for you.  They should be a priority and not added on the end of the list if you have spare capacity."
ME Association: Pacing Guide for Patients,Managing Big Events - Plan Realistically,"If you have a big event coming up, you may feel anxious about whether you can cope and what effect this will have on you. Make a sensible and realistic plan and stick to it."
ME Association: Pacing Guide for Patients,Managing Big Events - Communicate Limitations,"Explain to people about your limitations.  Hopefully, they will understand and be helpful."
ME Association: Pacing Guide for Patients,Managing Big Events - Don't Hide Problems,"Do not try to hide your problems."
ME Association: Pacing Guide for Patients,Managing Big Events - Plan Travel and Timetable,"Plan your travel and timetable well in advance and be prepared to alter it if necessary."
ME Association: Pacing Guide for Patients,Managing BigEvents - Find a Quiet Place and Rest,"Find a suitable place where you can be restful and quiet. Have a rest before you feel tired."
ME Association: Pacing Guide for Patients,Managing Setbacks - Regaining Control,"If you overdo things, do not worry. You have already proved that you can gain control by pacing and you will succeed again."
ME Association: Pacing Guide for Patients,Aids to Pacing - Listening to Your Body,"Most people find that 'listening to their body' is the most helpful way of pacing."
ME Association: Pacing Guide for Patients,Aids to Pacing - Activity and Symptom Diary,"However, keeping a daily activity and symptom-monitoring diary can help to show up where mistakes are being made."
ME Association: Pacing Guide for Patients,Aids to Pacing - Activity Trackers and Heart-Rate Monitors,"Activity monitoring - whereby you use an activity tracker (which records your number of daily steps) or a heart-rate monitor (to monitor a rise in pulse rate) can also be helpful."
ME Association: Pacing Guide for Patients,Severe/Very Severe ME/CFS - Cautious Activity Increase,"If you have severe or very severe ME/CFS any increase in physical activity will have to be carried out in very small amounts, preferably with the help of a health professional who fully understands the complexities of this disease."
ME Association: Pacing Guide for Patients,Key Points Summary - You are ill don't feel guilty,"You are ill. Make allowances for yourself. Do not feel guilty."
ME Association: Pacing Guide for Patients,Key Points Summary - Find stable baseline,"Find a stable baseline before trying to increase your activities."
ME Association: Pacing Guide for Patients,Key Points Summary - Break up activities,"Break up any physical or mental activity into small manageable chunks."
ME Association: Pacing Guide for Patients,Key Points Summary - Switch activities or rest before tired,"Switch to other types of activities or have a proper rest before you feel tired."
ME Association: Pacing Guide for Patients,Key Points Summary - Grow confidence with control,"Feel your confidence grow as you gain control of your life."
ME Association: Pacing Guide for Patients,When Improvement Occurs - Gradual Increase in Activity,"If you are making progress and your condition has stabilized, or is steadily improving, you may want to move onto some form of more regular, longer lasting or energetic physical activity.  You could, for example, steadily increase the distance you are walking each day, or do some gentle swimming in a warm pool.  Another form of gentle muscle-stretching exercise that may be suitable is yoga."
ME Association: Pacing Guide for Patients,When Improvement Occurs - Gradual and Flexible Approach,"Any form of increased physical activity or exercise still has to be done in a gradual and flexible way.  A sudden return to any form of more vigorous physical activity is not recommended."
ME Association: Pacing Guide for Patients,Returning to Work/School - Gradual and Flexible,"A return to school, college or work must be carried out in a flexible and gradual manner."
ME Association: Pacing Guide for Patients,Managing Flare-ups - Bed Rest if Infective,"If your symptoms are infective in nature - le feeling flu-like, having a sore throat and enlarged glands, a raised temperature - then a short period of bed rest may be advisable."
ME Association: Pacing Guide for Patients,Managing Flare-ups - Gradual Return,"This should be followed by a period of convalescence and a very gradual return to where you were before."
ME Association: Pacing Guide for Patients,Managing Flare-ups - Adjust Activity Reset Baseline,"Drop your activity levels, but do not go right back to the beginning unless really necessary. Reset your baseline.  Do not increase activity until you feel stable."
ME Association: Pacing Guide for Patients,Managing Flare-ups - Learn from Experience,"Learn from the experience."
ME Association: Pacing Guide for Patients,When Pacing Isn't Working - Seek GP Help,"If you can't get your activity management under reasonable control you should discuss the situation with your GP and ask for further help possibly by referral to a local ME/CFS service."
ME Association: Pacing Guide for Patients,When Condition Deteriorates - Seek GP Assessment,"If your overall condition is deteriorating you must speak to your GP who should carry out a full medical assessment to make sure that there isn't another so far undiagnosed medical problem."
